Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2019,1,Churchill,1205.1,Best ES,Regular,49.5,Not Rated,YES,45.8,39.3,31.3,YES,YES,NO,NO,NO,54.1,34.1,58.1,,,,,,,,18.7,NO,,NO,,NO,,64826,Carson City,2019
2019,1,Churchill,1206.1,Lahontan ES,Zoom Regular,49.5,Not Rated,YES,45.8,39.3,31.3,YES,YES,NO,NO,NO,54.1,34.1,58.1,,,,,,,,18.7,NO,,NO,,NO,,64826,Carson City,2019
2019,1,Churchill,1207.1,Numa ES,Regular,49.5,Not Rated,YES,45.8,39.3,31.3,YES,YES,NO,NO,NO,54.1,34.1,58.1,,,,,,,,18.7,NO,,YES,2.0,NO,,64826,Carson City,2019
2019,1,Churchill,1301.2,Churchill Co MS,Regular,30.0,2,NO,38.1,17.4,25.1,YES,YES,NO,NO,NO,38.3,16.7,14.2,92.5,,,,,,,17.4,YES,3.0,NO,,NO,,64826,Carson City,2019
2019,1,Churchill,1401.3,Churchill Co HS,Regular,56.5,3,NO,52.8,23.9,10.2,YES,YES,NO,NO,NO,,,10.8,,77.2,73.2,32.1,34.8,83.1,84.2,26.2,YES,3.0,NO,,NO,,64826,Carson City,2019
2019,2,Clark,2064.1,Ellis ES,Regular,77.22,4,NO,77.8,73.5,39.3,YES,YES,NO,NO,NO,71.4,52.7,-,,,,,,,,7,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2065.1,Ortwein ES,Regular,51.0,3,NO,54.5,49,32.4,YES,YES,YES,NO,NO,49,28.8,68.7,,,,,,,,8.5,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2066.1,Barber ES,Regular,56.5,3,NO,47.5,41.9,21,YES,YES,NO,NO,NO,50.5,42.6,60,,,,,,,,14.1,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2067.1,Divich ES,Regular,85.0,5,NO,68.5,56.1,36.6,YES,YES,NO,NO,NO,71,51.4,64.7,,,,,,,,11.1,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2068.1,Blackhurst ES,Regular,89.5,5,NO,78.5,65.1,23.4,YES,YES,NO,NO,NO,72,53.7,50,,,,,,,,7,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2069.1,Vassiliadis ES,Regular,88.0,5,NO,85,82.4,51.1,YES,YES,NO,NO,NO,82.6,67.7,80,,,,,,,,<5,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2070.1,Berkley ES,Regular,64.0,3,YES,58.4,46,28.5,YES,YES,NO,NO,NO,61.8,41.5,52.3,,,,,,,,13.6,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2071.1,Stevens ES,Regular,66.0,3,YES,61.4,58.3,30.6,YES,YES,NO,NO,NO,55.2,50.8,45.6,,,,,,,,11.2,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2072.1,Mathis ES,Regular,82.5,4,YES,66.1,61.1,38.9,YES,YES,NO,NO,NO,64,65.2,38.9,,,,,,,,11.2,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2073.1,Heard ES,Regular,34.5,2,YES,48,30.1,25.7,YES,YES,NO,NO,NO,49.2,17.8,45.3,,,,,,,,6.3,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2074.1,Snyder ES,Regular,57.0,3,YES,54.4,42,27.8,YES,YES,NO,NO,NO,57.2,48.5,27,,,,,,,,15.5,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2076.1,Duncan ES,Regular,25.0,1,YES,37.6,33,13.5,YES,YES,NO,NO,NO,36.4,27,39,,,,,,,,18.6,YES,2.0,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2077.1,Wallin ES,Regular,84.44,5,NO,82.1,75,49.5,YES,YES,NO,NO,NO,81.1,61.8,-,,,,,,,,5.4,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2078.1,Stuckey ES,Regular,88.0,5,NO,72.6,76.8,44.2,YES,YES,NO,NO,NO,71.7,65.3,40,,,,,,,,10.4,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2079.1,Keller  ES,Regular,28.0,2,YES,40,35.9,6.6,YES,YES,NO,NO,NO,28,19.8,59.7,,,,,,,,16.6,YES,2.0,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2080.1,Fine  ES,Regular,72.0,4,YES,60.4,56,27.8,YES,YES,NO,NO,NO,56.7,51.4,58.4,,,,,,,,11.5,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2081.1,Bozarth  ES,Regular,74.5,4,NO,71.1,63,22.1,YES,YES,NO,NO,NO,65.8,50,42.8,,,,,,,,8.1,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2082.1,Triggs E.S. ES,Regular,87.0,5,NO,60.3,57,34.1,YES,YES,NO,NO,NO,66.1,56.8,57.1,,,,,,,,10.7,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2083.1,ORoarke  ES,Regular,88.5,5,NO,76.2,72.4,51.5,YES,YES,NO,NO,NO,72,68.1,42.8,,,,,,,,7.7,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2084.1,Reedom ES,Regular,54.5,3,NO,49.6,43.2,25.5,YES,YES,NO,NO,NO,52.5,46.6,50,,,,,,,,12.5,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2085.1,Diaz ES,Zoom Regular,84.0,5,YES,52.6,46.3,13.7,YES,YES,NO,NO,NO,72.8,55.1,59.3,,,,,,,,10,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2086.1,Scott ES,Regular,26.0,1,YES,32.9,23.4,9.7,YES,YES,NO,NO,NO,43.4,20.3,47.1,,,,,,,,27,YES,3.0,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2087.1,Rainbow Dreams ES,Charter District,24.44,1,YES,25,13.2,20,YES,YES,NO,NO,NO,37.5,27.6,,,,,,,,,34.2,YES,2.0,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2089.1,West Prep Acad ES,Victory Regular,45.0,2,YES,37.1,39,<5,YES,YES,NO,NO,NO,46.1,35.6,46.2,,,,,,,,12.1,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2090.1,Smalley ES,Regular,88.89,5,NO,79.8,77.4,47.9,YES,YES,NO,NO,NO,73.4,69.1,-,,,,,,,,5.6,NO,,NO,,NO,,64827,Churchill,2019
2019,2,Clark,2091.1,Perkins Claude ES,Regular,25.5,1,YES,40.6,32.1,12.7,YES,YES,NO,NO,NO,37.5,16.6,48.4,,,,,,,,14,YES,1.0,NO,,NO,,64827,Churchill,2019
