Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2018,1,Churchill,1205.1,Best ES,Regular,47.78,Not Rated,YES,42.6,52.8,,YES,YES,NO,NO,NO,,,40.0,,,,,,,,15.0,NO,,NO,,NO,,64826,Carson City,2018
2018,1,Churchill,1206.1,Lahontan ES,Zoom Regular,30.0,Not Rated,YES,,,,,,NO,NO,NO,,,46.1,,,,,,,,27.6,NO,,NO,,NO,,64826,Carson City,2018
2018,1,Churchill,1207.1,Numa ES,Regular,58.84,3,YES,46.3,35.6,24.8,YES,YES,NO,NO,NO,52.7,39.3,57.7,,,,,,,,13.8,NO,,YES,1.0,NO,,64826,Carson City,2018
2018,1,Churchill,1301.2,Churchill Co MS,Regular,45.5,2,NO,40.9,21.2,18.7,NO,YES,YES,NO,NO,46.5,21.5,15.0,92.4,,,,,,,28.6,YES,2.0,NO,,NO,,64826,Carson City,2018
2018,1,Churchill,1401.3,Churchill Co HS,Regular,55.0,3,NO,51.2,29.2,39.2,YES,YES,NO,NO,NO,,,21.4,,81.1,68.1,30.4,6.0,78.8,75.3,28.6,YES,2.0,NO,,NO,,64826,Carson City,2018
2018,2,Clark,2068.1,Blackhurst ES,Regular,94.0,5,NO,73.4,53.7,21.6,YES,YES,NO,NO,NO,70.9,51.1,64.5,,,,,,,,13.2,NO,,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2069.1,Vassiliadis ES,Regular,102.0,5,NO,86.6,83.4,55.7,YES,YES,NO,NO,NO,81.6,73.7,64.7,,,,,,,,<5,NO,,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2070.1,Berkley ES,Regular,55.0,3,NO,54.5,39.1,19.2,YES,YES,NO,NO,NO,58.1,36,57.1,,,,,,,,14.2,NO,,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2071.1,Stevens ES,Regular,72.0,4,NO,60,54.3,20,YES,YES,NO,NO,NO,54.9,50.5,45.1,,,,,,,,14.4,NO,,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2072.1,Mathis ES,Regular,93.5,5,NO,63.7,56.8,37.6,YES,YES,NO,NO,NO,63.4,59.5,51.9,,,,,,,,11.9,NO,,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2073.1,Heard ES,Regular,49.5,2,NO,55,43.2,26.3,YES,YES,NO,NO,NO,49,28.5,57.8,,,,,,,,7.9,NO,,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2074.1,Snyder ES,Regular,59.5,3,NO,60.9,43.7,31.3,YES,YES,NO,NO,NO,59.2,36.7,66.6,,,,,,,,16.1,NO,,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2076.1,Duncan ES,Regular,21.5,1,YES,37.6,26.8,7.7,YES,YES,NO,NO,NO,30.3,14.6,45.2,,,,,,,,17,YES,1.0,NO,,NO,,64827,Churchill,2018
2018,2,Clark,2077.1,Wallin ES,Regular,74.5,4,NO,80.7,76.1,41.6,YES,YES,NO,NO,NO,67.6,54.4,30.7,,,,,,,,9,NO,,NO,,NO,,64827,Churchill,2018
