Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2022,2,Clark,2306.2,Brinley MS,Regular,39.0,Not Rated,YES,28.5,10.4,24.7,YES,YES,NO,NO,NO,38.2,18.2,29,74.6,,,,,,,42.4,YES,4.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2307.2,Bridger MS,Regular,20.0,Not Rated,YES,28.1,16.7,24.7,YES,YES,NO,NO,NO,30.3,18.9,8.4,74,,,,,,,38,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2308.2,Fremont MS,Regular,17.5,Not Rated,YES,22.9,6.9,9.3,YES,YES,NO,NO,NO,33.4,8.4,14.7,84.6,,,,,,,42.9,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2309.2,Knudson MS,Regular,41.0,Not Rated,YES,45.9,12.5,20.2,YES,YES,NO,NO,NO,51.5,18.9,11.5,80.1,,,,,,,34.7,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2310.2,Gibson MS,Regular,40.0,Not Rated,YES,32.9,12.7,26.6,YES,YES,YES,NO,NO,42.2,21.1,18,50.2,,,,,,,29.7,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2311.2,Martin MS,Regular,19.5,Not Rated,YES,31,14.8,24.7,YES,YES,NO,NO,NO,30.3,15.9,21.7,57.5,,,,,,,37.3,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2312.2,Orr MS,Regular,27.5,Not Rated,YES,23.6,8.7,14.9,NO,NO,YES,NO,NO,33.4,10.4,17.9,68.8,,,,,,,48.3,YES,3.0,NO,,NO,,64827,Churchill,2022
2022,2,Clark,2313.2,Burkholder MS,Regular,26.0,Not Rated,YES,33.3,18.1,30.6,YES,YES,NO,NO,NO,37.9,24.7,11.7,77.8,,,,,,,42.2,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2314.2,Woodbury MS,Regular,22.5,Not Rated,YES,30.2,7.2,16.6,YES,YES,YES,NO,NO,43.8,9.5,<5,74.5,,,,,,,39,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
2022,2,Clark,2315.2,Robison MS,Regular,18.0,Not Rated,YES,26.9,9,14.1,YES,YES,NO,NO,NO,27,9.8,11.3,82.9,,,,,,,44.3,NO,,YES,3.0,YES,3.0,64827,Churchill,2022
