Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2019,18,"State Public Charter School Authority ",103101.3,NSHS Sunrise HS,,66.67,Not Rated,NO,38.8,5.5,N/A,YES,YES,NO,NO,NO,N/A,N/A,-,N/A,N/A,>95,90.9,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",104101.3,NSHS Meadowood HS,,88,Not Rated,NO,64.7,35.2,N/A,YES,YES,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",38435.1,Freedom Classical Academy ES,Charter SPCSA,41,2,NO,41.1,40.9,14.7,YES,YES,NO,NO,NO,44.3,41.3,42.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.7,NO,N/A,YES,1,YES,1
2019,18,"State Public Charter School Authority ",38435.2,Freedom Classical Academy MS,Charter SPCSA,72,4,NO,43,31.2,26,YES,YES,NO,NO,NO,48.7,35.3,33.3,>95,N/A,N/A,N/A,N/A,N/A,N/A,12.2,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",39438.1,Legacy N. Valley ES,Charter SPCSA,46.5,2,NO,43.4,42.4,15.8,YES,YES,NO,NO,NO,43.9,32.4,60.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",39438.2,Legacy N. Valley MS,Charter SPCSA,60,3,NO,48.6,30,30.3,YES,YES,NO,NO,NO,47.8,28.8,43.4,>95,N/A,N/A,N/A,N/A,N/A,N/A,7.1,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",39439.1,Legacy Cadence ES,Charter SPCSA,48,2,NO,52.9,46.3,25.1,YES,YES,NO,NO,NO,44.3,34.5,59.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",39439.2,Legacy Cadence MS,Charter SPCSA,82,5,NO,58.1,41.8,31.2,YES,YES,NO,NO,NO,61.2,48.9,25,>95,N/A,N/A,N/A,N/A,N/A,N/A,16,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",44437.1,Mater North NV ES,Charter SPCSA,63,3,YES,31.1,33.3,12.5,YES,YES,NO,NO,NO,53.9,47.6,43.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.7,YES,2,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",44437.2,Mater North NV MS,Charter SPCSA,85.63,5,YES,45.8,33.3,N/A,YES,YES,NO,NO,NO,52.3,61.9,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",47434.2,SLAM ACAD MS,Charter SPCSA,68,3,NO,45.7,30.8,23.8,YES,YES,NO,NO,NO,49.3,35.9,51.7,88.6,N/A,N/A,N/A,N/A,N/A,N/A,14.6,NO,N/A,YES,2,YES,2
2019,18,"State Public Charter School Authority ",47434.3,SLAM ACAD HS,Charter SPCSA,70,Not Rated,NO,63.2,19.1,25.8,YES,YES,NO,NO,NO,N/A,N/A,58,N/A,92.5,N/A,N/A,N/A,N/A,N/A,16,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",48433.2,Equipo ACAD MS,Zoom SPCSA,83,5,YES,47.8,30.9,41.1,YES,YES,NO,NO,NO,52.9,33.7,35,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",48433.3,Equipo ACAD HS,Zoom SPCSA,77.89,4,YES,42.1,12.2,11.5,YES,YES,NO,NO,NO,N/A,N/A,21.9,N/A,94.6,>95,46,86.4,94.8,N/A,6.7,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",49432.1,Mater MT Vista ACAD ES,Zoom SPCSA,80.5,4,YES,46,51.9,34.5,YES,YES,NO,NO,NO,58.7,64.6,62.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,NO,N/A,NO,N/A,NO,N/A
2019,18,"State Public Charter School Authority ",49432.2,Mater MT Vista ACAD MS,Zoom SPCSA,91.5,5,YES,54.5,33.3,39.6,YES,YES,NO,NO,NO,59.9,43.7,49,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,N/A,NO,N/A
