Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2022,17,White Pine,17101.1,Lund ES,Regular,18.82,Not Rated,NO,33.3,29.6,-,YES,YES,NO,NO,NO,38.8,5.5,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.8,YES,4,NO,N/A,NO,N/A
2022,17,White Pine,17103.1,Baker ES,Regular,27.27,Not Rated,NO,33.2,16.6,-,-,N/A,YES,NO,NO,54.5,27.2,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,NO,N/A,NO,N/A,NO,N/A
2022,17,White Pine,17201.1,Norman ES,Regular,18.33,Not Rated,YES,28.2,27.7,16.6,YES,YES,NO,NO,NO,29.3,27.5,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.1,YES,3,NO,N/A,NO,N/A
2022,17,White Pine,17203.1,McGill ES,Regular,31.67,Not Rated,YES,30.9,19,6.6,YES,YES,NO,NO,NO,42.3,34.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.4,NO,N/A,NO,N/A,NO,N/A
2022,17,White Pine,17301.2,White Pine MS,Regular,70,Not Rated,YES,42.5,28,48.6,YES,YES,NO,NO,NO,50.7,37.3,-,>95,N/A,N/A,N/A,N/A,N/A,N/A,22.9,NO,N/A,YES,3,YES,3
2022,17,White Pine,17502.3,White Pine HS,Regular,71.67,Not Rated,NO,42,15.7,23.9,YES,YES,NO,NO,NO,N/A,N/A,-,N/A,98.1,88.2,51.4,36.4,>95,94.2,30.9,NO,N/A,NO,N/A,NO,N/A
2022,17,White Pine,17601.2,Lund JSHS MS,Regular,32.76,Not Rated,NO,38.4,19.2,-,YES,YES,NO,NO,NO,36,12,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,<5,YES,2,NO,N/A,NO,N/A
2022,17,White Pine,17601.3,Lund JSHS HS,Regular,15,Not Rated,NO,-,-,9.5,-,-,NO,NO,NO,N/A,N/A,N/A,N/A,-,-,-,-,-,-,20.6,YES,3,NO,N/A,NO,N/A
2022,17,White Pine,17903.3,Steptoe Valley HS,Alternative,8.18,Not Rated,NO,-,-,-,-,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,-,57.1,<4.5,-,52.9,46.6,75,YES,4,NO,N/A,NO,N/A
