Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2017,2,Clark,2100.1,Ward Kitty ES,Regular,82.56,4,NO,67.2,63.6,,YES,YES,NO,NO,NO,56.6,45.5,-,,,,,,,,8,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2101.1,Blue Diamond ES,Regular,88.15,5,NO,82.3,76.4,,YES,YES,NO,NO,NO,90,90,-,,,,,,,,19.4,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2102.1,Goodsprings ES,Regular,,Not Rated,YES,-,-,,-,-,NO,NO,NO,-,-,-,,,,,,,,-,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2103.1,Lundy ES,Regular,83.33,Not Rated,NO,-,-,,-,-,NO,NO,NO,-,-,,,,,,,,,15.3,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2104.1,Reid ES,Regular,43.33,Not Rated,YES,-,-,,-,,NO,NO,NO,-,-,,,,,,,,,13.6,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2105.1,King Martin ES,Regular,64.0,3,YES,31.9,24.4,,YES,YES,NO,NO,NO,50,39.8,56.3,,,,,,,,11.3,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2106.1,Deskin ES,Regular,63.0,3,YES,48.7,42.5,,YES,YES,NO,NO,NO,60,43.9,39.4,,,,,,,,12.5,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2107.1,Kim ES,Regular,80.0,4,YES,57.9,45.5,,YES,YES,NO,NO,NO,61.7,51,56.4,,,,,,,,15.4,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2108.1,Beatty ES,Regular,56.5,3,YES,61.6,53.9,,YES,YES,NO,NO,NO,47.6,36,35.9,,,,,,,,10.2,NO,,NO,,NO,,64827,Churchill,2017
2017,2,Clark,2109.1,Christensen ES,Regular,51.0,3,YES,59.2,42.3,,YES,YES,NO,NO,NO,53.7,24.4,44.7,,,,,,,,9.5,NO,,NO,,NO,,64827,Churchill,2017
