Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,18,"State Public Charter School Authority ",39439.1,Legacy Cadence ES,Regular,28.5,2,YES,39.4,36.7,8.3,YES,YES,43.5,28.8,36.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,NO,N/A,NO,YES,1,NO,N/A
2026,18,"State Public Charter School Authority ",39439.2,Legacy Cadence MS,Regular,48.5,2,YES,46.4,24,37.9,YES,YES,49.5,27,10.5,92.1,N/A,N/A,N/A,N/A,N/A,N/A,17.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",39440.1,Legacy SW ES,Regular,85,5,NO,66.4,62.5,31.8,YES,YES,65.1,52.8,62.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",39440.2,Legacy SW MS,Regular,99,5,NO,70.8,60.5,64,YES,YES,71.3,60.2,52,>95,N/A,N/A,N/A,N/A,N/A,N/A,6.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",43100.1,Futuro ACAD ES,Regular,61,3,YES,48.8,35.5,9.8,YES,YES,59.7,40.1,53.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",44437.1,Mater Northern NV ES,Regular,77.5,4,YES,48.7,52.4,<5,YES,YES,58.5,54.9,67.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",44437.2,Mater Northern NV MS,Regular,57,3,YES,39.3,31.1,27.4,YES,YES,40,30,21.7,>95,N/A,N/A,N/A,N/A,N/A,N/A,9.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",46100.1,DP Agassi ES,Regular,13,1,YES,25.5,19.8,<5,YES,YES,29.4,20.3,35.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.8,YES,1,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",46200.2,DP Agassi MS,Regular,50.5,3,YES,33.3,30.1,9.5,YES,YES,33.9,36,21.7,90.4,N/A,N/A,N/A,N/A,N/A,N/A,31.1,NO,N/A,NO,YES,2,NO,N/A
2026,18,"State Public Charter School Authority ",46300.3,DP Agassi HS,Regular,62.5,3,YES,58,50,8.5,NO,NO,N/A,N/A,29.4,N/A,94.3,45.8,<4.5,8.4,85.5,94.2,29.5,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",47434.1,SLAM ES,Regular,59,3,YES,49.8,48.8,12.7,YES,YES,44.5,45.7,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2,NO,N/A,NO,YES,2,NO,N/A
2026,18,"State Public Charter School Authority ",47434.2,SLAM MS,Regular,72.5,4,YES,47.3,35.5,31.4,YES,YES,50.3,37.4,25,>95,N/A,N/A,N/A,N/A,N/A,N/A,7.8,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",47434.3,SLAM HS,Regular,84,5,YES,52.3,18.9,24.1,YES,YES,N/A,N/A,28.3,N/A,94.4,>95,90.9,38.8,>95,>95,6.6,NO,N/A,NO,NO,N/A,NO,N/A
2026,18,"State Public Charter School Authority ",48433.2,Equipo ACAD MS,Regular,26.5,1,YES,30.3,15.8,14.2,YES,YES,29.4,16.1,7.5,>95,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
