Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,ATSI,Yrs In Designation As ATSI,CSI-MRI,Yrs In Designation As CSI-MRI
2026,16,Washoe,16271.1,Beasley ES,Regular,75,4,NO,60.8,48.5,38.3,YES,YES,64.8,42.3,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16272.1,Donner Springs ES,Regular,38,2,YES,32.9,27.8,<5,YES,YES,46.6,30.7,36.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.8,YES,2,NO,NO,N/A,NO,N/A
2026,16,Washoe,16273.1,Mathews ES,Regular,30,2,YES,25.9,19.8,<5,YES,YES,38.5,19.6,44.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16274.1,Hunsberger ES,Regular,93,5,NO,81.3,78.4,54.4,YES,YES,72.5,62.9,58.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16275.1,Bennett ES,Regular,35,2,YES,29.2,29.2,<5,YES,YES,42.1,34.3,41.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.3,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16276.1,Van Gorder ES,Regular,75.5,4,NO,59.8,55.4,27.8,YES,YES,63.7,44.2,72.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.1,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16278.1,Bailey CH ES,Regular,22,1,YES,13.9,11.8,10,YES,YES,22.8,21.4,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.8,YES,2,NO,NO,N/A,NO,N/A
2026,16,Washoe,16279.1,Coral Acad-South ES,Regular,62,3,NO,58.3,53.7,15.6,YES,YES,56.6,41.1,61.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16280.1,Coral Acad-Northwest ES,Regular,49,2,NO,43.5,40,13,YES,YES,41,45.4,78.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.9,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16281.1,Mariposa CS ES,Regular,29.5,2,YES,32.7,24.7,<5,YES,YES,33.3,24.1,37.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<5,NO,N/A,NO,NO,N/A,NO,N/A
2026,16,Washoe,16282.1,High Desert CS ES,Regular,48,2,NO,38.9,21.5,10,YES,YES,47.3,35,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.4,NO,N/A,NO,YES,2,NO,N/A
