transition,from_total_cohort,to_total_cohort,cohort_delta,from_total_graduates,to_total_graduates,graduate_delta,largest_negative_driver,largest_negative_driver_delta,largest_positive_driver,largest_positive_driver_delta
2013-14 -> 2014-15,2950,922,-2028,1387,498,-889,Nevada Virtual Charter,-1097,CASLV Sandy Ridge,31
2014-15 -> 2015-16,922,910,-12,498,547,49,Argent Preparatory Academy,-157,Nevada Connections Acad,135
