class_year,school_name,entity_id,sponsor_bucket,charter_authorizer,model_type,reported_as_high_school,acgr_row_present,published_rate_status,latest_confirmed_in_grad_materials,base_reference,rate_source_url,published_overall_acgr,published_overall_acgr_code,rate_low,rate_mid,rate_high,cohort_count,graduate_count,weight_source,include_in_sector_total,notes
2013-14,The Delta Academy J-SHS,02621,district_authorized,Clark County School District,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,16.0,numeric,16.0,16.0,16.0,75,12,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Delta Academy.
2013-14,Academy for Career Education Charter,16608,district_authorized,Washoe County School District,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,79.1,numeric,79.1,79.1,79.1,48,38,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Academy of Career Education Charter School.
2013-14,Coral Academy of Science Charter,16312,district_authorized,Washoe County School District,brick_and_mortar,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,80.9,numeric,80.9,80.9,80.9,42,34,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Coral Academy Charter School Secondary.
2013-14,ICDA Charter HS,16604,district_authorized,Washoe County School District,alternative,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,25.4,numeric,25.4,25.4,25.4,110,28,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as I Can Do Anything Charter High School.
2013-14,Rainshadow CCHS,16610,district_authorized,Washoe County School District,alternative,yes,yes,numeric,2013-14,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,33.3,numeric,33.3,33.3,33.3,45,15,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal where entity 16610 appears as enCompass Academy.
2014-15,Argent Preparatory Academy,18400,SPCSA,State Public Charter School Authority,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,22.2,numeric,22.2,22.2,22.2,157,35,Nevada Report Card cohort4yr portal school report,yes,Legacy SPCSA row reported as Silver State High School in the Nevada Report Card cohort4yr portal and crosswalked here to the Silver State / Argent history.
2014-15,NSHS Legacy Single-Campus,18401,SPCSA,State Public Charter School Authority,brick_and_mortar,yes,yes,topcoded,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,>95,topcoded,95.0,97.5,100.0,111,110,Nevada Report Card cohort4yr portal school report,yes,Legacy Nevada State High School row before later campus-level expansion.
2014-15,Nevada Virtual Charter,18404,SPCSA,State Public Charter School Authority,statewide_online,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,56.6,numeric,56.6,56.6,56.6,242,137,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Nevada Virtual Academy.
2014-15,Nevada Connections Acad,18405,SPCSA,State Public Charter School Authority,statewide_online,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,37.1,numeric,37.1,37.1,37.1,199,74,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Nevada Connections Academy.
2014-15,CASLV Sandy Ridge,18407,SPCSA,State Public Charter School Authority,brick_and_mortar,yes,yes,numeric,2014-15,Nevada Report Card cohort4yr portal school report,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y12.y23&organization=c32861&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,61.2,numeric,61.2,61.2,61.2,31,19,Nevada Report Card cohort4yr portal school report,yes,Recovered from the Nevada Report Card cohort4yr portal as Coral Academy of Science Las Vegas and aligned here to the later CASLV Sandy Ridge lineage.
