Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2017,06,Eureka,06101.1,Crescent Vly ES,Regular,6.67,Not Rated,NO,29.4,29.4,N/A,-,N/A,NO,NO,NO,-,-,-,N/A,N/A,,,,N/A,N/A,25.9,NO,N/A,NO,N/A,NO,N/A
2017,06,Eureka,06103.1,Eureka ES,Regular,82.78,4,NO,61.6,50.6,N/A,YES,YES,NO,NO,NO,66.6,50,-,N/A,N/A,,,,N/A,N/A,10.9,NO,N/A,NO,N/A,NO,N/A
2017,06,Eureka,06601.2,Eureka Co MS,Regular,55.56,3,NO,66.6,34.3,N/A,YES,YES,NO,NO,NO,57.1,29,N/A,>95,N/A,,,,N/A,N/A,20,NO,N/A,NO,N/A,NO,N/A
2017,06,Eureka,06601.3,Eureka Co HS,Regular,90,-1,NO,85.7,91.3,,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,100,,,,>95,>95,18.6,NO,N/A,NO,N/A,NO,N/A
2017,06,Eureka,06602.1,Eureka Online ES,Regular,N/A,Not Rated,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
2017,06,Eureka,06602.2,Eureka Online MS,Regular,N/A,Not Rated,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
2017,06,Eureka,06602.3,Eureka Online HS,Regular,N/A,-1,NO,N/A,N/A,,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
