Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2017,05,Esmeralda,05101.1,Dyer  ES,Regular,35,Not Rated,YES,40,46.6,N/A,-,N/A,NO,NO,NO,-,-,30,N/A,N/A,,,,N/A,N/A,13.7,NO,N/A,NO,N/A,NO,N/A
2017,05,Esmeralda,05101.2,Dyer  MS,Regular,48.65,Not Rated,YES,50,20,N/A,-,N/A,NO,NO,NO,-,-,-,-,N/A,,,,N/A,N/A,9,NO,N/A,NO,N/A,NO,N/A
2017,05,Esmeralda,05102.1,Goldfield ES,Regular,20,Not Rated,YES,18.7,25,N/A,-,N/A,NO,NO,NO,-,-,N/A,N/A,N/A,,,,N/A,N/A,15.7,NO,N/A,NO,N/A,NO,N/A
2017,05,Esmeralda,05102.2,Goldfield MS,Regular,2.7,Not Rated,YES,-,-,N/A,-,-,NO,NO,NO,-,-,N/A,N/A,N/A,,,,N/A,N/A,50,NO,N/A,NO,N/A,NO,N/A
2017,05,Esmeralda,05103.1,Silver Peak ES,Regular,N/A,Not Rated,NO,-,-,N/A,-,-,NO,NO,NO,-,-,N/A,N/A,N/A,,,,N/A,N/A,-,NO,N/A,NO,N/A,NO,N/A
2017,05,Esmeralda,05103.2,Silver Peak MS,Regular,N/A,Not Rated,NO,-,-,N/A,-,-,NO,NO,NO,-,-,N/A,-,N/A,,,,N/A,N/A,-,NO,N/A,NO,N/A,NO,N/A
