Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2016,03,Douglas,03201.1,Gardnerville ES,Regular,,,NO,53.4,41.6,74.7,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03202.1,Zephyr Cove ES,Regular,,,NO,57,47.3,76.7,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03205.1,Meneley  ES,Regular,,,YES,51.2,43.9,74,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03206.1,Jacks Vly ES,Regular,,,YES,51.9,48.6,58.6,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03207.1,Scarselli ES,Regular,,,YES,55,43.3,64.8,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03209.1,Pinon Hills ES,Regular,,,NO,79.8,72.4,81.8,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03210.1,Minden ES,Regular,,,NO,68.6,60,80.8,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03301.2,Carson Vly MS,Regular,,,NO,59.1,42.8,72,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03302.2,Pau Wa Lu MS,Regular,,,NO,52.6,33.6,77.2,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03501.3,Douglas HS HS,Regular,,,NO,83.4,64.2,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03502.2,Whittell MS,Regular,,,NO,53.6,43.3,66.7,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03502.3,Whittell HS,Regular,,,NO,84.3,56.6,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03503.2,Jacobsen MS,Alternative,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03503.3,Jacobsen HS,Alternative,,,NO,N/A,N/A,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03504.3,ASPIRE HS HS,Alternative,,,NO,85.3,42.1,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03901.2,Douglas ALT MS,Alternative,,,NO,N/A,N/A,N/A,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2016,03,Douglas,03901.3,Douglas ALT HS,Alternative,,,NO,N/A,N/A,,NO,NO,NO,NO,NO,N/A,N/A,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
