school_name,school_code,authorizer,model_type,operating_school_year,accountability_reporting_year,legal_charter,grade_9_count,grade_10_count,grade_11_count,grade_12_count,has_grade_12,acgr_row_exists,include_in_charter_grad_universe,exclusion_reason,confidence,source_file,source_url,date_accessed
Alpine Acad,18412,State Public Charter School Authority,alternative,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Argent Preparatory Academy,18400,State Public Charter School Authority,brick_and_mortar,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Beacon Acad,18409,State Public Charter School Authority,alternative,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
CASLV Sandy Ridge,18407,State Public Charter School Authority,brick_and_mortar,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
NSHS Legacy Single-Campus,18401,State Public Charter School Authority,brick_and_mortar,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Nevada Connections Acad,18405,State Public Charter School Authority,statewide_online,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Nevada Virtual Charter,18404,State Public Charter School Authority,statewide_online,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Quest Academy,18408,State Public Charter School Authority,brick_and_mortar,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,https://nevadareportcard.nv.gov/di/report/summary_4?report=summary_4&scope=e32.y14.y23&organization=c32863&scores=n_Total%2Cn_Graduate%2CGraduation_Rate%2Cn_AdultDiploma%2CAdultDiploma_Rate%2Cn_AdvancedDiploma%2CAdvancedDiploma_Rate%2Cn_AlternativeDiploma%2CAlternativeDiploma_Rate%2Cn_ClgandcareerreadyDiploma%2CClgandcareerreadyDiploma_Rate%2Cn_StandardDiploma%2CStandardDiploma_Rate%2Cn_AdjustedDiploma%2CAdjustedDiploma_Rate%2Cn_CertHSA%2CCertHSA_Rate%2Cn_HSE%2CHSE_Rate&num=500&page=1&pagesize=500&domain=cohort4yr&,2026-06-06
Academy for Career Education Charter,16608,Washoe County School District,brick_and_mortar,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,Report (2).csv,/Users/patrickgavin/Downloads/Report (2).csv,2026-06-06
Coral Academy of Science Charter,16312,Washoe County School District,brick_and_mortar,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,Report (2).csv,/Users/patrickgavin/Downloads/Report (2).csv,2026-06-06
ICDA Charter HS,16604,Washoe County School District,alternative,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,Report (2).csv,/Users/patrickgavin/Downloads/Report (2).csv,2026-06-06
North Star Online School,16923,Washoe County School District,non_charter_excluded,2016-17,2017-18,no,,,,,yes,yes,no,district-operated option school,high,Nevada_ReportCard_ACGR_school_level_export_2013_14_to_2024_25.csv,https://nevadareportcard.nv.gov/DI/main/cohort4yr,2026-06-06
Rainshadow CCHS,16610,Washoe County School District,alternative,2016-17,2017-18,yes,,,,,yes,yes,yes,,moderate,Report (2).csv,/Users/patrickgavin/Downloads/Report (2).csv,2026-06-06
Democracy Prep,46300,Achievement School District,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Explore Knowledge Academy J-SHS,02616,Clark County School District,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Innovations Int'l Charter J-SHS,02363,Clark County School District,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Odyssey Charter Schools 9-12 HS,02614,Clark County School District,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
The Delta Academy J-SHS,02621,Clark County School District,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Independence High School,79903,Correctional LEA,non_charter_excluded,2017-18,2018-19,no,,,,,yes,yes,no,correctional LEA school,high,Nevada_ReportCard_ACGR_school_level_export_2013_14_to_2024_25.csv,https://nevadareportcard.nv.gov/DI/main/cohort4yr,2026-06-06
Northeastern Nevada Virtual Academy,04610,Elko County School District / district-operated virtual,non_charter_excluded,2017-18,2018-19,no,,,,,no,yes,no,district-operated virtual program,high,Nevada_ReportCard_ACGR_school_level_export_2013_14_to_2024_25.csv,https://nevadareportcard.nv.gov/DI/main/cohort4yr,2026-06-06
Alpine Acad,,State Public Charter School Authority,alternative,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Amplus Durango,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Argent Preparatory Academy,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Beacon Acad,,State Public Charter School Authority,alternative,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
CASLV Sandy Ridge,87312,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Doral Red Rock,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Equipo Acad,,State Public Charter School Authority,alternative,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Founders Acad,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Leadership Acad,,State Public Charter School Authority,alternative,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Downtown,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Dtwn Henderson,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Henderson,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Meadowwood,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS North Las Vegas,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Northwest,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Southwest,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Summerlin,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
NSHS Sunrise,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Nevada Connections Acad,,State Public Charter School Authority,statewide_online,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Nevada Virtual Charter,,State Public Charter School Authority,statewide_online,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Oasis Acad,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Pinecrest Cadence,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Pinecrest Sloan Canyon,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
SLAM NV,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,no,no,no,no_grade_12_or_no_acgr,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Somerset Losee,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Somerset Sky Pointe,,State Public Charter School Authority,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Academy for Career Education Charter,16608,Washoe County School District,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Coral Academy of Science Charter,16312,Washoe County School District,brick_and_mortar,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
ICDA Charter HS,16604,Washoe County School District,alternative,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
North Star Online School,16923,Washoe County School District,non_charter_excluded,2017-18,2018-19,no,,,,,yes,yes,no,district-operated option school,high,Nevada_ReportCard_ACGR_school_level_export_2013_14_to_2024_25.csv,https://nevadareportcard.nv.gov/DI/main/cohort4yr,2026-06-06
Rainshadow CCHS,16610,Washoe County School District,alternative,2017-18,2018-19,yes,,,,,yes,yes,yes,,moderate,suppressed1718_afee2482a5.pdf,https://webapp-strapi-paas-prod-nde-001.azurewebsites.net/uploads/suppressed1718_afee2482a5.pdf,2026-06-06
Democracy Prep,46300,Achievement School District,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Explore Knowledge Academy J-SHS,02616,Clark County School District,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Innovations Int'l Charter J-SHS,02363,Clark County School District,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Odyssey Charter Schools 9-12 HS,02614,Clark County School District,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
The Delta Academy J-SHS,02621,Clark County School District,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Independence High School,79903,Correctional LEA,non_charter_excluded,2018-19,2019-20,no,,,,,yes,yes,no,correctional LEA school,high,Nevada_ReportCard_ACGR_school_level_export_2013_14_to_2024_25.csv,https://nevadareportcard.nv.gov/DI/main/cohort4yr,2026-06-06
Northeastern Nevada Virtual Academy,04610,Elko County School District / district-operated virtual,non_charter_excluded,2018-19,2019-20,no,,,,,no,yes,no,district-operated virtual program,high,Nevada_ReportCard_ACGR_school_level_export_2013_14_to_2024_25.csv,https://nevadareportcard.nv.gov/DI/main/cohort4yr,2026-06-06
Alpine Acad,,State Public Charter School Authority,alternative,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Amplus Durango,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,yes,yes,yes,,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
Argent Preparatory Academy,,State Public Charter School Authority,brick_and_mortar,2018-19,2019-20,yes,,,,,no,no,no,school_not_operating,moderate,MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,https://nevadareportcard.nv.gov/DI/MoreDownload?filename=4+Year+Graduation+Rates+for+the+Class+of+2018-2019.pdf,2026-06-06
