year,series_id,series_label,cohort,graduates,weighted_acgr,low_acgr,likely_acgr,high_acgr,included_school_count,suppressed_school_count,current_unweighted_panel_avg,notes
2016-17,spcsa_alternative,SPCSA Alternative,269,150,55.76,55.68,55.68,55.68,2,0,68.75,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 68.75%.
2016-17,clark_charter_total,Clark Charter Total,647,454,70.17,70.09,70.09,70.09,4,0,66.6,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 66.6%.
2016-17,washoe_charter_total,Washoe Charter Total,182,110,60.44,59.51,59.97,60.42,3,1,74.1,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 74.1%.
2017-18,statewide_official,Statewide Official,36319,30204,83.1,83.1,83.1,83.1,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 83.16%
2017-18,spcsa_official,SPCSA Official,1775,1243,70.0,70.0,70.0,70.0,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 70.03%
2017-18,clark_official,Clark Official,24763,21102,85.2,85.2,85.2,85.2,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 85.22%
2017-18,washoe_official,Washoe Official,4716,3980,84.3,84.3,84.3,84.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 84.39%
2017-18,spcsa_adjusted_charter_only,SPCSA Charter Only,1716,1223,71.27,70.61,71.08,71.56,15,5,78.66,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 78.66%.
2017-18,spcsa_brick_mortar,SPCSA Brick & Mortar,558,489,87.63,85.59,87.06,88.53,9,5,81.35,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 81.35%.
2017-18,spcsa_virtual,SPCSA Virtual,768,535,69.66,69.66,69.66,69.66,2,0,73.74,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 73.74%.
2017-18,spcsa_alternative,SPCSA Alternative,390,199,51.03,51.03,51.03,51.03,4,0,74.41,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 74.41%.
2017-18,clark_charter_total,Clark Charter Total,604,498,82.45,82.19,82.32,82.45,4,1,85.64,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 85.64%.
2017-18,washoe_charter_total,Washoe Charter Total,110,89,80.91,79.18,80.96,82.73,3,2,68.97,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 68.97%.
2018-19,statewide_official,Statewide Official,36842,30988,84.1,84.1,84.1,84.1,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 84.11%
2018-19,spcsa_official,SPCSA Official,1702,1324,77.7,77.7,77.7,77.7,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 77.79%
2018-19,clark_official,Clark Official,25254,21668,85.8,85.8,85.8,85.8,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 85.8%
2018-19,washoe_official,Washoe Official,4723,4064,86.0,86.0,86.0,86.0,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 86.05%
2018-19,spcsa_adjusted_charter_only,SPCSA Charter Only,1682,1306,77.65,77.12,77.36,77.6,15,3,89.63,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 89.63%.
2018-19,spcsa_brick_mortar,SPCSA Brick & Mortar,648,637,98.3,97.0,97.64,98.27,9,3,97.29,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 97.29%.
2018-19,spcsa_virtual,SPCSA Virtual,653,498,76.26,76.2,76.2,76.2,2,0,77.8,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 77.8%.
2018-19,spcsa_alternative,SPCSA Alternative,381,171,44.88,44.87,44.87,44.87,4,0,76.4,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 76.4%.
2018-19,clark_charter_total,Clark Charter Total,582,510,87.63,87.59,87.7,87.82,4,1,87.8,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 87.8%.
2018-19,washoe_charter_total,Washoe Charter Total,128,110,85.94,82.11,84.02,85.94,3,2,68.7,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 68.7%.
2019-20,statewide_official,Statewide Official,37460,30929,82.5,82.5,82.5,82.5,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 82.57%
2019-20,spcsa_official,SPCSA Official,1812,1524,84.1,84.1,84.1,84.1,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 84.11%
2019-20,clark_official,Clark Official,25662,21342,83.1,83.1,83.1,83.1,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 83.17%
2019-20,washoe_official,Washoe Official,4854,4131,85.1,85.1,85.1,85.1,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 85.11%
2019-20,spcsa_adjusted_charter_only,SPCSA Charter Only,1818,1528,84.05,82.72,83.36,84.0,21,9,92.1,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 92.1%.
2019-20,spcsa_brick_mortar,SPCSA Brick & Mortar,980,962,98.16,95.84,96.99,98.14,15,8,96.83,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 96.83%.
2019-20,spcsa_virtual,SPCSA Virtual,512,434,84.77,84.7,84.7,84.7,2,0,84.4,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 84.4%.
2019-20,spcsa_alternative,SPCSA Alternative,326,132,40.49,40.2,40.31,40.42,4,1,77.05,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 77.05%.
2019-20,clark_charter_total,Clark Charter Total,641,561,87.52,87.18,87.41,87.65,4,2,89.95,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 89.95%.
2019-20,washoe_charter_total,Washoe Charter Total,122,112,91.8,88.06,89.93,91.79,3,2,70.48,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 70.48%.
2020-21,statewide_official,Statewide Official,37486,30479,81.3,81.3,81.3,81.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.31%
2020-21,spcsa_official,SPCSA Official,2121,1843,86.8,86.8,86.8,86.8,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 86.89%
2020-21,clark_official,Clark Official,25689,20792,80.9,80.9,80.9,80.9,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 80.94%
2020-21,washoe_official,Washoe Official,4925,4062,82.4,82.4,82.4,82.4,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 82.48%
2020-21,spcsa_adjusted_charter_only,SPCSA Charter Only,2066,1791,86.69,86.02,86.33,86.64,23,6,91.44,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 91.44%.
2020-21,spcsa_brick_mortar,SPCSA Brick & Mortar,1197,1165,97.33,96.21,96.74,97.28,17,6,96.05,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 96.05%.
2020-21,spcsa_virtual,SPCSA Virtual,543,468,86.19,86.15,86.15,86.15,2,0,86.15,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 86.15%.
2020-21,spcsa_alternative,SPCSA Alternative,326,158,48.47,48.4,48.4,48.4,4,0,73.35,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 73.35%.
2020-21,clark_charter_total,Clark Charter Total,720,598,83.06,82.94,83.07,83.19,4,2,86.46,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 86.46%.
2020-21,washoe_charter_total,Washoe Charter Total,115,110,95.65,91.83,93.74,95.65,3,2,92.16,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 92.16%.
2021-22,statewide_official,Statewide Official,36918,30171,81.7,81.7,81.7,81.7,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.72%
2021-22,spcsa_official,SPCSA Official,2377,2046,86.0,86.0,86.0,86.0,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 86.07%
2021-22,clark_official,Clark Official,25212,20499,81.3,81.3,81.3,81.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 81.31%
2021-22,washoe_official,Washoe Official,4667,3937,84.3,84.3,84.3,84.3,,,,Official public rate from Nevada reporting context file; calculated rate from counts was 84.36%
2021-22,spcsa_adjusted_charter_only,SPCSA Charter Only,2377,2046,86.07,85.34,85.68,86.03,24,6,92.71,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 92.71%.
2021-22,spcsa_brick_mortar,SPCSA Brick & Mortar,1360,1336,98.24,97.34,97.77,98.19,18,5,97.21,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 97.21%.
2021-22,spcsa_virtual,SPCSA Virtual,612,509,83.17,83.12,83.12,83.12,2,0,83.3,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 83.3%.
2021-22,spcsa_alternative,SPCSA Alternative,405,201,49.63,48.37,48.97,49.57,4,1,77.18,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 77.18%.
2021-22,clark_charter_total,Clark Charter Total,690,569,82.46,82.28,82.37,82.46,4,1,85.06,Weighted ACGR from school-level cohort and graduate counts. Unweighted comparison was 85.06%.
