Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2018,08,Lander,08201.1,Battle Mtn ES,Zoom Regular,80.5,4,YES,54.8,42.5,21.3,YES,YES,NO,NO,NO,63.3,46.3,62.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.8,NO,N/A,NO,N/A,NO,N/A
2018,08,Lander,08302.2,Lemaire Jr High,Regular,43,2,NO,46.6,22.3,34.2,YES,YES,NO,NO,NO,45.3,20.9,-,93.6,N/A,N/A,N/A,N/A,N/A,N/A,22,YES,2,NO,N/A,NO,N/A
2018,08,Lander,08601.3,Battle Mtn HS,Regular,57.5,3,NO,46.1,23,24.6,YES,YES,NO,NO,NO,N/A,N/A,10,N/A,88.4,39.1,30.4,8.4,>95,84.5,21.4,NO,N/A,NO,N/A,NO,N/A
2018,08,Lander,08602.1,Austin School ES,Regular,1,Not Rated,NO,-,-,N/A,-,-,NO,NO,NO,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.2,NO,N/A,NO,N/A,NO,N/A
2018,08,Lander,08602.2,Austin School MS,Regular,N/A,Not Rated,NO,-,-,N/A,-,-,NO,NO,NO,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,NO,N/A,NO,N/A,NO,N/A
2018,08,Lander,08602.3,Austin School HS,Regular,100,Not Rated,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,NO,N/A,NO,N/A,NO,N/A
