Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2018,11,Mineral,11201.1,Hawthorne E.S. ES,Regular,25.33,1,YES,37.9,18.6,27,YES,YES,NO,NO,NO,37.7,10.4,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.3,YES,1,NO,N/A,NO,N/A
2018,11,Mineral,11202.1,Schurz ES,Zoom Regular,16.74,1,YES,15.7,<5,-,-,N/A,NO,NO,NO,25,6.2,33.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,YES,2,NO,N/A,NO,N/A
2018,11,Mineral,11203.2,Hawthorne JHS MS,Regular,31.44,2,YES,26.6,5.3,41.9,NO,NO,YES,NO,NO,32.1,5.7,-,81.8,N/A,N/A,N/A,N/A,N/A,N/A,6.2,YES,2,NO,N/A,NO,N/A
2018,11,Mineral,11601.3,Mineral Co HS,Regular,70.33,4,YES,28.1,<5,28,YES,YES,NO,NO,NO,N/A,N/A,-,N/A,67.5,>95,56,38.4,92.8,>95,13.6,NO,N/A,NO,N/A,NO,N/A
2018,11,Mineral,11901.2,Mineral Alt MS,Alternative,N/A,Not Rated,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
2018,11,Mineral,11901.3,Mineral Alt HS,Alternative,0,Not Rated,NO,N/A,N/A,N/A,N/A,N/A,NO,NO,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,NO,N/A,NO,N/A,NO,N/A
