school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment,enrollment_share,school_count,data_status
2014-15,ES,Collapsed,1-2,2035.42,0.19801789478906937,4,legacy_pdf_estimated_band_splits
2014-15,ES,Collapsed,3,946.74,0.09210455911438598,3,legacy_pdf_estimated_band_splits
2014-15,ES,Collapsed,4-5,6473.62,0.6297926737795714,7,legacy_pdf_estimated_band_splits
2014-15,ES,Collapsed,Not Rated,823.19,0.08008487231697341,3,legacy_pdf_estimated_band_splits
2014-15,HS,1,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2014-15,HS,2,1-2,2579.7799999999997,0.5717888988135476,3,legacy_pdf_estimated_band_splits
2014-15,HS,3,3,797.89,0.17684633746844364,3,legacy_pdf_estimated_band_splits
2014-15,HS,4,4-5,0.0,0.0,0,legacy_pdf_estimated_band_splits
2014-15,HS,5,4-5,580.63,0.12869228706250538,2,legacy_pdf_estimated_band_splits
2014-15,HS,Not Rated,Not Rated,553.4699999999999,0.12267247665550324,4,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,1-2,2579.7799999999997,0.5717888988135476,3,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,3,797.89,0.17684633746844364,3,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,4-5,580.63,0.12869228706250538,2,legacy_pdf_estimated_band_splits
2014-15,HS,Collapsed,Not Rated,553.4699999999999,0.12267247665550324,4,legacy_pdf_estimated_band_splits
2014-15,MS,1,1-2,32.22,0.006177253825315239,1,legacy_pdf_estimated_band_splits
2014-15,MS,2,1-2,0.0,0.0,0,legacy_pdf_estimated_band_splits
2014-15,MS,3,3,1718.9099999999999,0.3295513151108819,4,legacy_pdf_estimated_band_splits
2014-15,MS,4,4-5,1001.86,0.19207770072719818,4,legacy_pdf_estimated_band_splits
2014-15,MS,5,4-5,2046.1799999999998,0.39229587933840887,4,legacy_pdf_estimated_band_splits
2014-15,MS,Not Rated,Not Rated,416.74,0.07989785099819592,5,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,1-2,32.22,0.006177253825315239,1,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,3,1718.9099999999999,0.3295513151108819,4,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,4-5,3048.04,0.584373580065607,8,legacy_pdf_estimated_band_splits
2014-15,MS,Collapsed,Not Rated,416.74,0.07989785099819592,5,legacy_pdf_estimated_band_splits
2015-16,ES,1,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,2,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,3,3,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,4,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,5,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Not Rated,Not Rated,18032.0,1.0,29,initial_transition_not_shown
2015-16,ES,Collapsed,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Collapsed,3,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Collapsed,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,ES,Collapsed,Not Rated,18032.0,1.0,29,initial_transition_not_shown
2015-16,HS,1,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,2,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,3,3,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,4,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,5,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,Not Rated,Not Rated,7889.0,1.0,24,initial_transition_not_shown
2015-16,HS,Collapsed,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,Collapsed,3,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,Collapsed,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,HS,Collapsed,Not Rated,7889.0,1.0,24,initial_transition_not_shown
2015-16,MS,1,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,2,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,3,3,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,4,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,5,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,Not Rated,Not Rated,8848.0,1.0,30,initial_transition_not_shown
2015-16,MS,Collapsed,1-2,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,Collapsed,3,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,Collapsed,4-5,0.0,0.0,0,initial_transition_not_shown
2015-16,MS,Collapsed,Not Rated,8848.0,1.0,30,initial_transition_not_shown
2016-17,ES,1,1-2,2079.0,0.10283424840480783,4,first_stable_baseline
2016-17,ES,2,1-2,3166.0,0.15660088044714843,9,first_stable_baseline
2016-17,ES,3,3,4551.0,0.22510758272740763,8,first_stable_baseline
2016-17,ES,4,4-5,4557.0,0.22540436266508385,3,first_stable_baseline
2016-17,ES,5,4-5,5604.0,0.277192461789583,3,first_stable_baseline
2016-17,ES,Not Rated,Not Rated,260.0,0.012860463965969234,1,first_stable_baseline
2016-17,ES,Collapsed,1-2,5245.0,0.2594351288519563,13,first_stable_baseline
2016-17,ES,Collapsed,3,4551.0,0.22510758272740763,8,first_stable_baseline
2016-17,ES,Collapsed,4-5,10161.0,0.5025968244546669,6,first_stable_baseline
2016-17,ES,Collapsed,Not Rated,260.0,0.012860463965969234,1,first_stable_baseline
2016-17,HS,1,1-2,0.0,0.0,0,first_stable_baseline
2016-17,HS,2,1-2,0.0,0.0,0,first_stable_baseline
2016-17,HS,3,3,0.0,0.0,0,first_stable_baseline
2016-17,HS,4,4-5,0.0,0.0,0,first_stable_baseline
2016-17,HS,5,4-5,0.0,0.0,0,first_stable_baseline
2016-17,HS,Not Rated,Not Rated,8057.0,1.0,28,first_stable_baseline
2016-17,HS,Collapsed,1-2,0.0,0.0,0,first_stable_baseline
2016-17,HS,Collapsed,3,0.0,0.0,0,first_stable_baseline
2016-17,HS,Collapsed,4-5,0.0,0.0,0,first_stable_baseline
2016-17,HS,Collapsed,Not Rated,8057.0,1.0,28,first_stable_baseline
2016-17,MS,1,1-2,0.0,0.0,0,first_stable_baseline
2016-17,MS,2,1-2,892.0,0.08481506132927641,5,first_stable_baseline
2016-17,MS,3,3,4882.0,0.4642008177236855,10,first_stable_baseline
2016-17,MS,4,4-5,956.0,0.09090044689550252,5,first_stable_baseline
2016-17,MS,5,4-5,3787.0,0.36008367405153563,8,first_stable_baseline
2016-17,MS,Not Rated,Not Rated,0.0,0.0,1,first_stable_baseline
2016-17,MS,Collapsed,1-2,892.0,0.08481506132927641,5,first_stable_baseline
2016-17,MS,Collapsed,3,4882.0,0.4642008177236855,10,first_stable_baseline
2016-17,MS,Collapsed,4-5,4743.0,0.4509841209470381,13,first_stable_baseline
2016-17,MS,Collapsed,Not Rated,0.0,0.0,1,first_stable_baseline
2017-18,ES,1,1-2,2636.0,0.1130360205831904,6,standard_reporting
2017-18,ES,2,1-2,5474.0,0.23473413379073757,14,standard_reporting
2017-18,ES,3,3,3183.0,0.13649228130360205,7,standard_reporting
2017-18,ES,4,4-5,5432.0,0.23293310463121783,10,standard_reporting
2017-18,ES,5,4-5,6213.0,0.26642367066895367,11,standard_reporting
2017-18,ES,Not Rated,Not Rated,382.0,0.016380789022298458,1,standard_reporting
2017-18,ES,Collapsed,1-2,8110.0,0.34777015437392794,20,standard_reporting
2017-18,ES,Collapsed,3,3183.0,0.13649228130360205,7,standard_reporting
2017-18,ES,Collapsed,4-5,11645.0,0.49935677530017153,21,standard_reporting
2017-18,ES,Collapsed,Not Rated,382.0,0.016380789022298458,1,standard_reporting
2017-18,HS,1,1-2,2776.0,0.29907347554406377,6,standard_reporting
2017-18,HS,2,1-2,1516.0,0.16332686920922215,2,standard_reporting
2017-18,HS,3,3,1703.0,0.18347338935574228,4,standard_reporting
2017-18,HS,4,4-5,317.0,0.0341521223874165,2,standard_reporting
2017-18,HS,5,4-5,1321.0,0.1423184658478776,6,standard_reporting
2017-18,HS,Not Rated,Not Rated,1649.0,0.17765567765567766,8,standard_reporting
2017-18,HS,Collapsed,1-2,4292.0,0.46240034475328595,8,standard_reporting
2017-18,HS,Collapsed,3,1703.0,0.18347338935574228,4,standard_reporting
2017-18,HS,Collapsed,4-5,1638.0,0.17647058823529413,8,standard_reporting
2017-18,HS,Collapsed,Not Rated,1649.0,0.17765567765567766,8,standard_reporting
2017-18,MS,1,1-2,824.0,0.06718304117407256,1,standard_reporting
2017-18,MS,2,1-2,2663.0,0.21712189156135345,10,standard_reporting
2017-18,MS,3,3,2913.0,0.23750509580105994,11,standard_reporting
2017-18,MS,4,4-5,975.0,0.07949449653485528,5,standard_reporting
2017-18,MS,5,4-5,4890.0,0.3986954749286588,16,standard_reporting
2017-18,MS,Not Rated,Not Rated,0.0,0.0,0,standard_reporting
2017-18,MS,Collapsed,1-2,3487.0,0.284304932735426,11,standard_reporting
2017-18,MS,Collapsed,3,2913.0,0.23750509580105994,11,standard_reporting
