school_year,level_band,rating_bucket_5level,rating_bucket_3level,enrollment_share
2016-17,HS,Collapsed,3,0.0
2016-17,HS,Collapsed,4-5,0.0
2016-17,HS,Collapsed,Not Rated,1.0
2016-17,MS,1,1-2,0.0
2016-17,MS,2,1-2,0.08481506132927641
2016-17,MS,3,3,0.4642008177236855
2016-17,MS,4,4-5,0.09090044689550252
2016-17,MS,5,4-5,0.36008367405153563
2016-17,MS,Not Rated,Not Rated,0.0
2016-17,MS,Collapsed,1-2,0.08481506132927641
2016-17,MS,Collapsed,3,0.4642008177236855
2016-17,MS,Collapsed,4-5,0.4509841209470381
2016-17,MS,Collapsed,Not Rated,0.0
2017-18,ES,1,1-2,0.1130360205831904
2017-18,ES,2,1-2,0.23473413379073757
2017-18,ES,3,3,0.13649228130360205
2017-18,ES,4,4-5,0.23293310463121783
2017-18,ES,5,4-5,0.26642367066895367
2017-18,ES,Not Rated,Not Rated,0.016380789022298458
2017-18,ES,Collapsed,1-2,0.34777015437392794
2017-18,ES,Collapsed,3,0.13649228130360205
2017-18,ES,Collapsed,4-5,0.49935677530017153
2017-18,ES,Collapsed,Not Rated,0.016380789022298458
2017-18,HS,1,1-2,0.29907347554406377
2017-18,HS,2,1-2,0.16332686920922215
2017-18,HS,3,3,0.18347338935574228
2017-18,HS,4,4-5,0.0341521223874165
2017-18,HS,5,4-5,0.1423184658478776
2017-18,HS,Not Rated,Not Rated,0.17765567765567766
2017-18,HS,Collapsed,1-2,0.46240034475328595
2017-18,HS,Collapsed,3,0.18347338935574228
2017-18,HS,Collapsed,4-5,0.17647058823529413
2017-18,HS,Collapsed,Not Rated,0.17765567765567766
2017-18,MS,1,1-2,0.06718304117407256
2017-18,MS,2,1-2,0.21712189156135345
2017-18,MS,3,3,0.23750509580105994
2017-18,MS,4,4-5,0.07949449653485528
2017-18,MS,5,4-5,0.3986954749286588
2017-18,MS,Not Rated,Not Rated,0.0
2017-18,MS,Collapsed,1-2,0.284304932735426
2017-18,MS,Collapsed,3,0.23750509580105994
2017-18,MS,Collapsed,4-5,0.47818997146351405
2017-18,MS,Collapsed,Not Rated,0.0
2018-19,ES,1,1-2,0.04126111683652048
2018-19,ES,2,1-2,0.32073743272643995
