Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI
2020,18,"State Public Charter School Authority ",103101.3,NSHS Sunrise HS,Charter SPCSA,66.67,Not Rated,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",104101.3,NSHS Meadowood HS,Charter SPCSA,88,Not Rated,YES,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",105101.1,Signature Prep,Charter SPCSA,,,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",105101.2,Signature Prep,Charter SPCSA,,,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",38435.1,Freedom Classical Academy ES,Charter SPCSA,41,2,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",38435.2,Freedom Classical Academy MS,Charter SPCSA,72,4,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",39438.1,Legacy N. Valley ES,Charter SPCSA,46.5,2,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",39438.2,Legacy N. Valley MS,Charter SPCSA,60,3,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",39439.1,Legacy Cadence ES,Charter SPCSA,48,2,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
2020,18,"State Public Charter School Authority ",39439.2,Legacy Cadence MS,Charter SPCSA,82,5,NO,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,NO,N/A,NO,N/A,NO,N/A
